2021-03-04 00:05:15.043 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [sortParagraphsBySentenceNumber] -- Text was sorted
2021-03-04 00:05:15.052 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [sortParagraphsBySentenceNumber] -- Text was sorted
2021-03-04 00:05:32.597 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [sortParagraphsBySentenceNumber] -- Text was sorted
2021-03-04 00:12:53.436 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [findSentencesWithLongestWord] -- Sentences were found
2021-03-04 00:12:53.456 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [findSentencesWithLongestWord] -- Sentences were found
2021-03-04 00:12:53.476 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 3 words have been removed
2021-03-04 00:12:53.498 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [sortParagraphsBySentenceNumber] -- Text was sorted
2021-03-04 00:12:53.504 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [sortParagraphsBySentenceNumber] -- Text was sorted
2021-03-04 00:13:47.271 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [findSentencesWithLongestWord] -- Sentences were found
2021-03-04 00:13:47.281 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [findSentencesWithLongestWord] -- Sentences were found
2021-03-04 00:13:47.283 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [sortParagraphsBySentenceNumber] -- Text was sorted
2021-03-04 00:13:47.285 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [sortParagraphsBySentenceNumber] -- Text was sorted
2021-03-04 00:13:55.388 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-04 00:13:55.432 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-04 00:14:10.745 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-04 00:14:10.756 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-04 00:14:59.748 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-04 00:14:59.804 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-04 00:15:14.935 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-04 00:15:25.660 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-04 16:47:32.080 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-04 16:47:32.120 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-04 16:47:46.934 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-04 16:47:46.966 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 27 words have been removed
2021-03-04 16:47:56.567 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-04 16:47:56.613 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 30 words have been removed
2021-03-04 17:08:50.416 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-04 17:08:50.479 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 30 words have been removed
2021-03-04 17:38:19.756 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-04 17:38:19.815 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [findIdenticalWords] -- Identical words were found
2021-03-04 17:38:52.126 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-04 17:39:30.826 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [findIdenticalWords] -- Identical words were found
2021-03-04 17:39:49.497 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-04 17:39:49.548 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [findIdenticalWords] -- Identical words were found
2021-03-04 17:45:36.779 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [findIdenticalWords] -- Identical words were found
2021-03-04 17:46:23.527 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [findIdenticalWords] -- Identical words were found
